Age Groups,فئات السن,Highest Educational Level, أعلى مؤهل علمي ,Nationality,الجنسية,Sex,الجنس,Population
60 - 64,60 - 64,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,52
15 - 19,15 - 19,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,53
20 - 24,20 - 24,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,292
30 - 34,30 - 34,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,802
40 - 44,40 - 44,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,212
45 - 49,45 - 49,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,113
50 - 54,50 - 54,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,66
60 - 64,60 - 64,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,11
65 Years & Above,65 سنة فأكثر,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,23
15 - 19,15 - 19,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,311
20 - 24,20 - 24,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,1588
35 - 39,35 - 39,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,2900
40 - 44,40 - 44,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,1953
50 - 54,50 - 54,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,889
65 Years & Above,65 سنة فأكثر,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,136
20 - 24,20 - 24,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,5452
35 - 39,35 - 39,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,19209
40 - 44,40 - 44,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,8586
55 - 59,55 - 59,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,1279
20 - 24,20 - 24,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,5767
25 - 29,25 - 29,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,12790
50 - 54,50 - 54,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,15537
15 - 19,15 - 19,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,178
20 - 24,20 - 24,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,3077
30 - 34,30 - 34,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,12348
40 - 44,40 - 44,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,8464
45 - 49,45 - 49,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,6804
50 - 54,50 - 54,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,4554
40 - 44,40 - 44,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,9003
55 - 59,55 - 59,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,3299
15 - 19,15 - 19,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,0
25 - 29,25 - 29,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,2040
30 - 34,30 - 34,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,3818
50 - 54,50 - 54,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,1321
